fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n_lt_5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,data_year,county_name,fips_full,naics_level,naics_prefix,qp1_usd,ap_usd,emp_noise_label,qp1_noise_label,ap_noise_label
48,201,238120,G,2551,G,36201,G,160097,70,23.0,9.0,15.0,12.0,5.0,4.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,238120,36201000,160097000,low,low,low
48,201,23813/,G,1035,G,12839,G,53057,84,59.0,15.0,5.0,,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,23813,12839000,53057000,low,low,low
48,201,238130,G,1035,G,12839,G,53057,84,59.0,15.0,5.0,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,238130,12839000,53057000,low,low,low
48,201,23814/,H,2600,H,39279,H,169139,122,69.0,15.0,12.0,11.0,9.0,5.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23814,39279000,169139000,medium,medium,medium
48,201,238140,H,2600,H,39279,H,169139,122,69.0,15.0,12.0,11.0,9.0,5.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,238140,39279000,169139000,medium,medium,medium
48,201,23815/,G,1829,G,27585,G,106752,111,51.0,22.0,13.0,15.0,7.0,,,,,,,,,2023,"Harris County, TX",48201,5-digit,23815,27585000,106752000,low,low,low
48,201,238150,G,1829,G,27585,G,106752,111,51.0,22.0,13.0,15.0,7.0,,,,,,,,,2023,"Harris County, TX",48201,6-digit,238150,27585000,106752000,low,low,low
48,201,23816/,G,2649,G,46653,G,211362,301,199.0,45.0,24.0,22.0,8.0,3.0,,,,,,,,2023,"Harris County, TX",48201,5-digit,23816,46653000,211362000,low,low,low
48,201,238160,G,2649,G,46653,G,211362,301,199.0,45.0,24.0,22.0,8.0,3.0,,,,,,,,2023,"Harris County, TX",48201,6-digit,238160,46653000,211362000,low,low,low
48,201,23817/,H,498,H,10837,H,46866,37,24.0,8.0,,,,,,,,,,,,2023,"Harris County, TX",48201,5-digit,23817,10837000,46866000,medium,medium,medium
48,201,238170,H,498,H,10837,H,46866,37,24.0,8.0,,,,,,,,,,,,2023,"Harris County, TX",48201,6-digit,238170,10837000,46866000,medium,medium,medium
48,201,23819/,G,3456,H,87479,G,283146,85,39.0,22.0,12.0,6.0,3.0,,,,,,,,,2023,"Harris County, TX",48201,5-digit,23819,87479000,283146000,low,medium,low
48,201,238190,G,3456,H,87479,G,283146,85,39.0,22.0,12.0,6.0,3.0,,,,,,,,,2023,"Harris County, TX",48201,6-digit,238190,87479000,283146000,low,medium,low
